n,k,m,distance
1.0,7.0,6.0,10.10600002
1.0,7.0,7.0,10.29800002
1.0,7.0,8.0,10.44900002
1.0,7.0,9.0,10.55200002
1.0,7.0,10.0,10.63500002
1.0,7.0,11.0,10.67800002
1.0,7.0,12.0,10.73800002
1.0,7.0,13.0,10.78300002
1.0,7.0,14.0,10.81300002
1.0,7.0,15.0,10.85900002
1.0,7.0,16.0,10.87500002
1.0,7.0,17.0,10.89000002
1.0,7.0,18.0,10.91700002
1.0,7.0,19.0,10.93000002
1.0,7.0,20.0,10.94400002
1.0,7.0,21.0,10.95500002
1.0,7.0,22.0,10.95100002
1.0,7.0,23.0,10.96600002
1.0,7.0,24.0,10.96800002
1.0,7.0,25.0,10.97400002
1.0,7.0,26.0,10.97700002
1.0,7.0,27.0,10.99300002
1.0,7.0,28.0,10.98800002
1.0,7.0,29.0,10.98800002
1.0,7.0,30.0,10.99500002
1.0,8.0,1.0,7.20500001
1.0,8.0,2.0,9.35600001
1.0,8.0,3.0,10.51600002
1.0,8.0,4.0,11.11600002
1.0,8.0,5.0,11.55500002
1.0,8.0,6.0,11.84700002
1.0,8.0,7.0,12.06000002
1.0,8.0,8.0,12.24200002
1.0,8.0,9.0,12.37400002
1.0,8.0,10.0,12.47700002
1.0,8.0,11.0,12.54300002
1.0,8.0,12.0,12.61300002
1.0,8.0,13.0,12.67100002
1.0,8.0,14.0,12.71200002
1.0,8.0,15.0,12.76300002
1.0,8.0,16.0,12.80100002
1.0,8.0,17.0,12.81100002
1.0,8.0,18.0,12.85100002
1.0,8.0,19.0,12.87800002
1.0,8.0,20.0,12.89300002
1.0,8.0,21.0,12.90400002
1.0,8.0,22.0,12.91300002
1.0,8.0,23.0,12.93300002
1.0,8.0,24.0,12.93500002
1.0,8.0,25.0,12.94800002
1.0,8.0,26.0,12.95900002
1.0,8.0,27.0,12.97200002
1.0,8.0,28.0,12.96600002
1.0,8.0,29.0,12.97300002
1.0,8.0,30.0,12.98200002
1.0,9.0,1.0,8.21400001
1.0,9.0,2.0,10.69300001
1.0,9.0,3.0,12.04800002
1.0,9.0,4.0,12.72500002
1.0,9.0,5.0,13.22200002
1.0,9.0,6.0,13.56400002
1.0,9.0,7.0,13.82000002
1.0,9.0,8.0,14.03500002
1.0,9.0,9.0,14.21200002
1.0,9.0,10.0,14.32200002
1.0,9.0,11.0,14.40400002
1.0,9.0,12.0,14.50300002
1.0,9.0,13.0,14.56100002
1.0,9.0,14.0,14.62100002
1.0,9.0,15.0,14.65900002
1.0,9.0,16.0,14.71100002
1.0,9.0,17.0,14.73600002
1.0,9.0,18.0,14.79100002
1.0,9.0,19.0,14.81300002
1.0,9.0,20.0,14.83500002
1.0,9.0,21.0,14.86300002
1.0,9.0,22.0,14.86400002
1.0,9.0,23.0,14.88800002
1.0,9.0,24.0,14.90500002
1.0,9.0,25.0,14.91100002
1.0,9.0,26.0,14.92900002
1.0,9.0,27.0,14.94700002
1.0,9.0,28.0,14.94700002
1.0,9.0,29.0,14.94800002
1.0,9.0,30.0,14.95900002
1.0,10.0,1.0,9.25400001
1.0,10.0,2.0,12.04700001
1.0,10.0,3.0,13.56600002
1.0,10.0,4.0,14.33700002
1.0,10.0,5.0,14.91100002
1.0,10.0,6.0,15.30300002
1.0,10.0,7.0,15.58500002
1.0,10.0,8.0,15.82500002
1.0,10.0,9.0,16.02600002
1.0,10.0,10.0,16.16700002
1.0,10.0,11.0,16.24800002
1.0,10.0,12.0,16.37800002
1.0,10.0,13.0,16.45900002
1.0,10.0,14.0,16.50800002
1.0,10.0,15.0,16.57200002
1.0,10.0,16.0,16.63600002
1.0,10.0,17.0,16.66500002
1.0,10.0,18.0,16.72500002
1.0,10.0,19.0,16.75300002
1.0,10.0,20.0,16.78600002
1.0,10.0,21.0,16.82100002
1.0,10.0,22.0,16.82000002
1.0,10.0,23.0,16.84700002
1.0,10.0,24.0,16.86900002
1.0,10.0,25.0,16.87700002
1.0,10.0,26.0,16.90100002
1.0,10.0,27.0,16.92700002
1.0,10.0,28.0,16.92200002
1.0,10.0,29.0,16.93000002
1.0,10.0,30.0,16.94200002
2.0,2.0,1.0,1.00000001
2.0,2.0,2.0,1.49750002
2.0,2.0,3.0,1.75850002
2.0,2.0,4.0,1.87850002
2.0,2.0,5.0,1.94050002
2.0,2.0,6.0,1.97000002
2.0,2.0,7.0,1.98350002
2.0,2.0,8.0,1.99450002
2.0,2.0,9.0,1.99550002
2.0,2.0,10.0,1.99900002
2.0,2.0,11.0,2.00000002
2.0,2.0,12.0,1.99950002
2.0,2.0,13.0,2.00000002
2.0,2.0,14.0,2.00000002
2.0,2.0,15.0,2.00000002
2.0,2.0,16.0,2.00000002
2.0,2.0,17.0,2.00000002
2.0,2.0,18.0,2.00000002
2.0,2.0,19.0,2.00000002
2.0,2.0,20.0,2.00000002
2.0,2.0,21.0,2.00000002
2.0,2.0,22.0,2.00000002
2.0,2.0,23.0,2.00000002
2.0,2.0,24.0,2.00000002
2.0,2.0,25.0,2.00000002
2.0,2.0,26.0,2.00000002
2.0,2.0,27.0,2.00000002
2.0,2.0,28.0,2.00000002
2.0,2.0,29.0,2.00000002
2.0,2.0,30.0,2.00000002
2.0,3.0,1.0,2.02000001
2.0,3.0,2.0,2.75100001
2.0,3.0,3.0,3.13500002
2.0,3.0,4.0,3.35750002
2.0,3.0,5.0,3.51200002
2.0,3.0,6.0,3.62400002
2.0,3.0,7.0,3.73400002
2.0,3.0,8.0,3.80450002
2.0,3.0,9.0,3.84950002
2.0,3.0,10.0,3.89200002
2.0,3.0,11.0,3.91650002
2.0,3.0,12.0,3.94000002
2.0,3.0,13.0,3.94850002
2.0,3.0,14.0,3.95950002
2.0,3.0,15.0,3.96850002
2.0,3.0,16.0,3.97700002
2.0,3.0,17.0,3.98500002
2.0,3.0,18.0,3.98850002
2.0,3.0,19.0,3.99450002
2.0,3.0,20.0,3.99400002
2.0,3.0,21.0,3.99450002
2.0,3.0,22.0,3.99850002
2.0,3.0,23.0,3.99850002
2.0,3.0,24.0,3.99650002
2.0,3.0,25.0,3.99850002
2.0,3.0,26.0,3.99850002
2.0,3.0,27.0,4.00000002
2.0,3.0,28.0,4.00000002
2.0,3.0,29.0,4.00000002
2.0,3.0,30.0,3.99950002
2.0,4.0,1.0,3.07200001
