n,k,m,distance
1.0,7.0,15.0,1.871726
1.0,7.0,16.0,1.879646
1.0,7.0,17.0,1.885479
1.0,7.0,18.0,1.893555
1.0,7.0,19.0,1.898323
1.0,7.0,20.0,1.90355
1.0,7.0,21.0,1.909448
1.0,7.0,22.0,1.911385
1.0,7.0,23.0,1.917245
1.0,7.0,24.0,1.920431
1.0,7.0,25.0,1.92362
1.0,7.0,26.0,1.927059
1.0,7.0,27.0,1.932087
1.0,7.0,28.0,1.932288
1.0,7.0,29.0,1.934536
1.0,7.0,30.0,1.937434
1.0,8.0,1.0,1.026385
1.0,8.0,2.0,1.340848
1.0,8.0,3.0,1.5127
1.0,8.0,4.0,1.600973
1.0,8.0,5.0,1.666321
1.0,8.0,6.0,1.711881
1.0,8.0,7.0,1.746224
1.0,8.0,8.0,1.77484
1.0,8.0,9.0,1.798233
1.0,8.0,10.0,1.815909
1.0,8.0,11.0,1.828955
1.0,8.0,12.0,1.843061
1.0,8.0,13.0,1.853924
1.0,8.0,14.0,1.861865
1.0,8.0,15.0,1.871726
1.0,8.0,16.0,1.879646
1.0,8.0,17.0,1.885479
1.0,8.0,18.0,1.893555
1.0,8.0,19.0,1.898323
1.0,8.0,20.0,1.90355
1.0,8.0,21.0,1.909448
1.0,8.0,22.0,1.911385
1.0,8.0,23.0,1.917245
1.0,8.0,24.0,1.920431
1.0,8.0,25.0,1.92362
1.0,8.0,26.0,1.927059
1.0,8.0,27.0,1.932087
1.0,8.0,28.0,1.932288
1.0,8.0,29.0,1.934536
1.0,8.0,30.0,1.937434
1.0,9.0,1.0,1.026385
1.0,9.0,2.0,1.340848
1.0,9.0,3.0,1.5127
1.0,9.0,4.0,1.600973
1.0,9.0,5.0,1.666321
1.0,9.0,6.0,1.711881
1.0,9.0,7.0,1.746224
1.0,9.0,8.0,1.77484
1.0,9.0,9.0,1.798233
1.0,9.0,10.0,1.815909
1.0,9.0,11.0,1.828955
1.0,9.0,12.0,1.843061
1.0,9.0,13.0,1.853924
1.0,9.0,14.0,1.861865
1.0,9.0,15.0,1.871726
1.0,9.0,16.0,1.879646
1.0,9.0,17.0,1.885479
1.0,9.0,18.0,1.893555
1.0,9.0,19.0,1.898323
1.0,9.0,20.0,1.90355
1.0,9.0,21.0,1.909448
1.0,9.0,22.0,1.911385
1.0,9.0,23.0,1.917245
1.0,9.0,24.0,1.920431
1.0,9.0,25.0,1.92362
1.0,9.0,26.0,1.927059
1.0,9.0,27.0,1.932087
1.0,9.0,28.0,1.932288
1.0,9.0,29.0,1.934536
1.0,9.0,30.0,1.937434
1.0,10.0,1.0,1.026385
1.0,10.0,2.0,1.340848
1.0,10.0,3.0,1.5127
1.0,10.0,4.0,1.600973
1.0,10.0,5.0,1.666321
1.0,10.0,6.0,1.711881
1.0,10.0,7.0,1.746224
1.0,10.0,8.0,1.77484
1.0,10.0,9.0,1.798233
1.0,10.0,10.0,1.815909
1.0,10.0,11.0,1.828955
1.0,10.0,12.0,1.843061
1.0,10.0,13.0,1.853924
1.0,10.0,14.0,1.861865
1.0,10.0,15.0,1.871726
1.0,10.0,16.0,1.879646
1.0,10.0,17.0,1.885479
1.0,10.0,18.0,1.893555
1.0,10.0,19.0,1.898323
1.0,10.0,20.0,1.90355
1.0,10.0,21.0,1.909448
1.0,10.0,22.0,1.911385
1.0,10.0,23.0,1.917245
1.0,10.0,24.0,1.920431
1.0,10.0,25.0,1.92362
1.0,10.0,26.0,1.927059
1.0,10.0,27.0,1.932087
1.0,10.0,28.0,1.932288
1.0,10.0,29.0,1.934536
1.0,10.0,30.0,1.937434
2.0,2.0,1.0,1.026382
2.0,2.0,2.0,1.5100665
2.0,2.0,3.0,1.7609855
2.0,2.0,4.0,1.8736035
2.0,2.0,5.0,1.9354935
2.0,2.0,6.0,1.964935
2.0,2.0,7.0,1.9839515
2.0,2.0,8.0,1.9939455
2.0,2.0,9.0,1.9969935
2.0,2.0,10.0,1.998467
2.0,2.0,11.0,1.999868
2.0,2.0,12.0,1.9998365
2.0,2.0,13.0,1.999891
2.0,2.0,14.0,1.999793
2.0,2.0,15.0,1.999893
2.0,2.0,16.0,1.999923
2.0,2.0,17.0,1.999896
2.0,2.0,18.0,2.0
2.0,2.0,19.0,2.0
2.0,2.0,20.0,2.0
2.0,2.0,21.0,2.0
2.0,2.0,22.0,2.0
2.0,2.0,23.0,2.0
2.0,2.0,24.0,2.0
2.0,2.0,25.0,2.0
2.0,2.0,26.0,2.0
2.0,2.0,27.0,2.0
2.0,2.0,28.0,2.0
2.0,2.0,29.0,2.0
2.0,2.0,30.0,2.0
2.0,3.0,1.0,1.026382
2.0,3.0,2.0,1.376394
2.0,3.0,3.0,1.5776165
2.0,3.0,4.0,1.707838
2.0,3.0,5.0,1.8142885
2.0,3.0,6.0,1.901049
2.0,3.0,7.0,1.976542
2.0,3.0,8.0,2.037312
2.0,3.0,9.0,2.084572
2.0,3.0,10.0,2.1234945
2.0,3.0,11.0,2.152578
2.0,3.0,12.0,2.181478
2.0,3.0,13.0,2.198785
2.0,3.0,14.0,2.221743
2.0,3.0,15.0,2.2360055
2.0,3.0,16.0,2.249313
2.0,3.0,17.0,2.267966
2.0,3.0,18.0,2.280258
2.0,3.0,19.0,2.2885645
2.0,3.0,20.0,2.2977855
2.0,3.0,21.0,2.3107115
2.0,3.0,22.0,2.3188805
2.0,3.0,23.0,2.3267875
2.0,3.0,24.0,2.33325
2.0,3.0,25.0,2.3421855
2.0,3.0,26.0,2.341086
2.0,3.0,27.0,2.351172
2.0,3.0,28.0,2.356916
2.0,3.0,29.0,2.359215
2.0,3.0,30.0,2.367258
2.0,4.0,1.0,1.026382
2.0,4.0,2.0,1.3576995
2.0,4.0,3.0,1.5426985
2.0,4.0,4.0,1.646039
2.0,4.0,5.0,1.7341085
2.0,4.0,6.0,1.795672
2.0,4.0,7.0,1.853995
2.0,4.0,8.0,1.895985
2.0,4.0,9.0,1.93135
2.0,4.0,10.0,1.9665905
2.0,4.0,11.0,1.9879165
2.0,4.0,12.0,2.009666
2.0,4.0,13.0,2.032183
2.0,4.0,14.0,2.0476095
2.0,4.0,15.0,2.066341
2.0,4.0,16.0,2.081135
2.0,4.0,17.0,2.0943405
2.0,4.0,18.0,2.1093525
2.0,4.0,19.0,2.118185
2.0,4.0,20.0,2.1278125
2.0,4.0,21.0,2.140791
2.0,4.0,22.0,2.149697
2.0,4.0,23.0,2.157588
2.0,4.0,24.0,2.1642255
2.0,4.0,25.0,2.172084
2.0,4.0,26.0,2.1745335
2.0,4.0,27.0,2.183196
2.0,4.0,28.0,2.1894865
2.0,4.0,29.0,2.192974
2.0,4.0,30.0,2.200312
2.0,5.0,1.0,1.026382
2.0,5.0,2.0,1.348706
2.0,5.0,3.0,1.5277445
2.0,5.0,4.0,1.627064
2.0,5.0,5.0,1.701679
2.0,5.0,6.0,1.7571625
2.0,5.0,7.0,1.802779
2.0,5.0,8.0,1.842189
2.0,5.0,9.0,1.8735185
2.0,5.0,10.0,1.8988305
2.0,5.0,11.0,1.921452
2.0,5.0,12.0,1.940099
2.0,5.0,13.0,1.960125
2.0,5.0,14.0,1.972693
2.0,5.0,15.0,1.988508
2.0,5.0,16.0,2.004101
2.0,5.0,17.0,2.010847
2.0,5.0,18.0,2.028603
2.0,5.0,19.0,2.038477
2.0,5.0,20.0,2.047318
2.0,5.0,21.0,2.0591315
2.0,5.0,22.0,2.0659075
2.0,5.0,23.0,2.0739805
2.0,5.0,24.0,2.080584
2.0,5.0,25.0,2.0882795
2.0,5.0,26.0,2.0946625
2.0,5.0,27.0,2.100948
2.0,5.0,28.0,2.1062065
2.0,5.0,29.0,2.110742
2.0,5.0,30.0,2.1180025
2.0,6.0,1.0,1.026382
2.0,6.0,2.0,1.3450485
2.0,6.0,3.0,1.519816
2.0,6.0,4.0,1.6151835
2.0,6.0,5.0,1.687085
2.0,6.0,6.0,1.7395835
2.0,6.0,7.0,1.7798495
2.0,6.0,8.0,1.8192885
2.0,6.0,9.0,1.8454595
2.0,6.0,10.0,1.8676035
2.0,6.0,11.0,1.8857935
2.0,6.0,12.0,1.9059205
2.0,6.0,13.0,1.922514
2.0,6.0,14.0,1.933596
2.0,6.0,15.0,1.948402
2.0,6.0,16.0,1.9616155
2.0,6.0,17.0,1.969856
2.0,6.0,18.0,1.9849065
2.0,6.0,19.0,1.992521
2.0,6.0,20.0,2.0014265
2.0,6.0,21.0,2.0113345
2.0,6.0,22.0,2.0175735
2.0,6.0,23.0,2.0261305
2.0,6.0,24.0,2.031593
2.0,6.0,25.0,2.0397805
2.0,6.0,26.0,2.04577
2.0,6.0,27.0,2.051147
2.0,6.0,28.0,2.056443
2.0,6.0,29.0,2.0608855
2.0,6.0,30.0,2.0677935
2.0,7.0,1.0,1.026382
2.0,7.0,2.0,1.345726
2.0,7.0,3.0,1.5198945
2.0,7.0,4.0,1.612881
2.0,7.0,5.0,1.6827175
2.0,7.0,6.0,1.7323825
2.0,7.0,7.0,1.772739
2.0,7.0,8.0,1.8047425
2.0,7.0,9.0,1.83059
2.0,7.0,10.0,1.852142
2.0,7.0,11.0,1.8691265
2.0,7.0,12.0,1.8876235
2.0,7.0,13.0,1.9020315
2.0,7.0,14.0,1.912848
2.0,7.0,15.0,1.927354
2.0,7.0,16.0,1.937686
2.0,7.0,17.0,1.9481995
2.0,7.0,18.0,1.9594225
2.0,7.0,19.0,1.9660075
2.0,7.0,20.0,1.9750095
2.0,7.0,21.0,1.9841335
2.0,7.0,22.0,1.988862
2.0,7.0,23.0,1.997939
2.0,7.0,24.0,2.003009
2.0,7.0,25.0,2.010002
2.0,7.0,26.0,2.0148485
2.0,7.0,27.0,2.0203605
2.0,7.0,28.0,2.0262355
2.0,7.0,29.0,2.0293935
2.0,7.0,30.0,2.0359795
2.0,8.0,1.0,1.026382
2.0,8.0,2.0,1.34415
2.0,8.0,3.0,1.518305
2.0,8.0,4.0,1.6088715
2.0,8.0,5.0,1.6782845
2.0,8.0,6.0,1.7259745
2.0,8.0,7.0,1.765348
2.0,8.0,8.0,1.7964675
2.0,8.0,9.0,1.821741
2.0,8.0,10.0,1.8420215
2.0,8.0,11.0,1.858404
2.0,8.0,12.0,1.874077
2.0,8.0,13.0,1.8879045
2.0,8.0,14.0,1.8977445
2.0,8.0,15.0,1.9120065
2.0,8.0,16.0,1.9225795
2.0,8.0,17.0,1.9320305
2.0,8.0,18.0,1.9419785
2.0,8.0,19.0,1.948238
2.0,8.0,20.0,1.9564095
2.0,8.0,21.0,1.965015
2.0,8.0,22.0,1.970272
2.0,8.0,23.0,1.9772105
2.0,8.0,24.0,1.982517
2.0,8.0,25.0,1.988981
2.0,8.0,26.0,1.993462
2.0,8.0,27.0,1.998595
2.0,8.0,28.0,2.004176
2.0,8.0,29.0,2.0081615
2.0,8.0,30.0,2.0132705
2.0,9.0,1.0,1.026382
2.0,9.0,2.0,1.3420965
2.0,9.0,3.0,1.5167465
2.0,9.0,4.0,1.607407
