,generation,mother,father,child,child_no
0,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-27-12-23-29-26-21-5-30-10-5-2-5-8-4-5-6-8-9,1.0
1,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-8-10-4-28-27-11-6-29-7-2-2-5-7-7-5-6-8-6,2.0
2,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-8-20-4-28-25-20-6-7-23-2-2-8-3-5-5-6-5-9,3.0
3,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-8-20-4-28-27-11-5-29-7-5-5-8-8-7-5-6-8-9,4.0
4,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-27-21-24-30-27-22-8-10-22-2-5-8-8-4-5-6-8-6,5.0
5,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-27-19-5-30-27-13-2-30-23-2-5-5-8-4-5-6-8-9,6.0
6,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-28-10-4-19-25-11-6-29-23-2-5-8-3-4-2-5-8-6,7.0
7,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-28-20-24-28-25-20-2-29-7-6-2-8-8-4-5-6-8-6,8.0
8,1,0.72-0.49-0.38-0.82-0.56-0.19-0.85-0.29-0.71-8-10-4-28-27-20-6-29-7-5-2-5-8-7-5-6-8-9,0.49-0.8-0.83-0.38-0.98-0.21-0.65-0.47-0.48-28-20-24-20-25-11-2-7-23-2-5-8-3-4-2-6-5-6,0.6-0.64-0.6-0.6-0.77-0.2-0.75-0.38-0.6-7-20-4-28-27-11-6-29-7-6-5-5-3-7-5-6-5-9,9.0
9,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,1.0
10,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.77-0.24-0.74-0.2-0.43-0.46-0.3-0.66-0.57-27-11-3-19-12-12-8-4-5-8-3-8-3-3-4-4-7-8,2.0
11,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.77-0.24-0.74-0.2-0.43-0.46-0.3-0.66-0.57-27-11-3-14-17-16-8-26-9-8-8-2-3-7-2-4-4-4,3.0
12,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.92-0.03-0.12-0.59-0.28-0.02-0.05-0.17-0.1-27-13-19-14-12-16-8-26-5-8-3-2-3-3-4-5-5-4,4.0
13,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.77-0.24-0.74-0.2-0.43-0.46-0.3-0.66-0.57-27-13-19-14-17-12-19-4-9-8-8-7-3-3-2-5-6-8,5.0
14,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,6.0
15,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.21-0.88-0.99-0.56-0.17-0.61-0.85-0.25-0.17-7-13-19-19-17-16-8-26-9-8-3-7-3-7-2-5-7-4,7.0
16,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.17-0.65-0.89-0.53-0.41-0.46-0.0-0.12-0.06-27-11-3-14-17-16-19-4-5-8-8-2-3-7-2-5-5-4,8.0
17,2,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.7-0.29-0.7-0.38-0.56-0.73-0.26-0.82-0.92-27-13-19-14-17-12-8-26-5-8-3-7-3-7-4-4-7-4,0.77-0.24-0.74-0.2-0.43-0.46-0.3-0.66-0.57-7.0-13.0-19.0-19.0-17.0-16.0-19.0-4.0-5.0-8-3-7-3-3-2-4-5-8,9.0
18,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.1-0.1-0.34-0.92-0.82-0.83-0.35-0.72-0.82-7-11-19-19-17-16-19-4-5-7-2-6-4-3-5-5-6-4,1.0
19,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.1-0.1-0.34-0.92-0.82-0.83-0.35-0.72-0.82-7-11-19-14-12-16-19-26-5-8-3-7-3-2-2-4-5-8,2.0
20,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.1-0.1-0.34-0.92-0.82-0.83-0.35-0.72-0.82-7-13-19-14-12-16-8-27-5-8-8-2-4-3-2-5-5-8,3.0
21,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.1-0.1-0.34-0.92-0.82-0.83-0.35-0.72-0.82-8-14-21-14-20-18-7-27-5-8-3-2-3-3-2-4-5-8,4.0
22,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.1-0.1-0.34-0.92-0.82-0.83-0.35-0.72-0.82-7-11-19-14-13-16-8-26-5-8-3-2-3-3-2-5-5-8,5.0
23,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.1-0.1-0.34-0.92-0.82-0.83-0.35-0.72-0.82-7-11-19-14-17-16-19-26-5-8-8-7-3-3-4-6-5-4,6.0
24,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.1-0.1-0.34-0.92-0.82-0.83-0.35-0.72-0.82-7-13-19-14-17-16-8-4-5-8-8-7-3-3-4-5-4-4,7.0
25,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.37-0.84-0.84-0.17-0.86-0.79-0.75-0.29-0.1-7-11-19-14-17-16-8-4-5-8-8-2-3-3-4-4-5-4,8.0
26,3,0.07-0.08-0.6-0.97-0.78-0.99-0.29-0.48-0.78-7-11-19-19-17-16-8-4-5-8-3-7-3-3-4-5-5-4,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.1-0.1-0.34-0.92-0.82-0.83-0.35-0.72-0.82-7-11-19-15-17-16-19-26-5-8-3-7-3-3-2-5-5-8,9.0
27,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-13-3-14-12-16-19-26-9-9-8-2-4-3-2-5-6-8,1.0
28,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-13-3-19-12-16-19-26-5-9-8-2-3-3-2-4-5-8,2.0
29,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-13-3-14-12-16-19-26-9-8-8-2-4-3-2-5-5-8,3.0
30,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-11-19-19-12-16-19-26-5-8-7-2-2-2-2-5-4-7,4.0
31,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-14-3-14-12-16-19-4-9-8-8-2-3-3-2-4-5-8,5.0
32,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-13-3-14-12-17-19-4-9-8-8-2-3-3-2-5-5-8,6.0
33,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7.0-13.0-3.0-19.0-12.0-16.0-19.0-4.0-5.0-8-8-2-3-3-2-5-5-8,7.0
34,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-8-11-19-19-12-16-19-26-9-8-8-2-3-3-2-4-5-8,8.0
35,4,0.84-0.18-0.79-0.01-0.3-0.2-0.34-0.51-0.22-7-11-3-19-12-16-19-4-9-8-8-2-3-3-2-5-5-8,0.13-0.12-0.08-0.88-0.85-0.67-0.41-0.97-0.86-7-13-19-14-12-16-19-26-5-8-8-2-3-3-2-4-5-8,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-11-3-14-12-16-19-4-5-9-9-2-2-2-2-5-6-9,9.0
36,5,0.48-0.35-0.08-0.1-0.09-0.19-0.34-0.48-0.64-18-17-2-7-21-8-8-12-5-8-7-3-9-5-4-7-5-6,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-13-3-19-12-16-19-26-5-9-8-2-3-3-2-4-5-8,0.2-0.09-0.63-0.89-0.51-0.61-0.66-0.88-0.13-18-17-2-19-12-8-8-26-5-8-7-2-9-3-2-4-5-8,1.0
37,5,0.48-0.35-0.08-0.1-0.09-0.19-0.34-0.48-0.64-18-17-2-7-21-8-8-12-5-8-7-3-9-5-4-7-5-6,0.48-0.15-0.44-0.44-0.57-0.44-0.38-0.74-0.54-7-13-3-19-12-16-19-26-5-9-8-2-3-3-2-4-5-8,0.48-0.25-0.26-0.27-0.33-0.32-0.36-0.61-0.59-18-13-3-19-21-16-20-12-5-9-8-3-4-3-2-7-5-6,2.0
