,generation,mother,father,child,child_no,mutation
0,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.15|0.68|0.19|0.94|0.59|0.95|0.35|0.29|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,1.0,0.04000000000000001|-0.030000000000000027|0.81|-0.019999999999999907|-0.37|-0.15999999999999992|0.13|-0.05999999999999997|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|3|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
2,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|3|3|2|3|2|3|3|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|-1.0|-1.0|0.0|-1.0|0.0|-1.0|-1.0|0.0
4,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|2|2|2|2|2|3|2|3,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|-1.0
5,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.74|0.4|0.86|0.64|0.33|0.13|0.84|0.95|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,6.0,-0.55|0.25|0.14|0.28|-0.11000000000000001|0.66|-0.36|-0.72|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|30|23|21|20|3|2|3|2|2|2|2|3,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|-1.0|0.0|-1.0|0.0|0.0|0.0|0.0|-1.0
7,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.99|0.56|0.19|0.18|0.7|0.22|0.63|0.33|26|25|15|11|30|23|21|20|2|2|2|2|2|2|2|2,8.0,-0.8|0.08999999999999997|0.81|0.74|-0.48|0.5700000000000001|-0.15000000000000002|-0.1|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26.0|25.0|15.0|11.0|30.0|23.0|21.0|20.0|2|2|2|2|2|2|2|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|15|11|32|23|21|20|2|2|2|2|2|2|2|2,0.19|0.65|1.0|0.92|0.22|0.79|0.48|0.23|26|25|18|14|30|23|23|22|2|2|2|2|2|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-3.0|-3.0|2.0|0.0|-2.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
