,generation,mother,father,child,child_no,mutation
0,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|9|18|14|11|5|4|4|2|9|6|3|7|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|20|15|11|13|11|9|18|11|21|5|4|4|9|9|6|3|4|7|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|2.0|10.0|10.0|5.0|5.0|3.0|5.0|15.0|2.0|3.0|5|4|5|9|9|9|8|7|7|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|10.0|4.0|6.0|8.0|8.0|11.0|3.0|12.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|17|15|11|13|11|16|18|11|11|5|4|5|9|3|9|8|4|7|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
4,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|2.0|5.0|2.0|10.0|5.0|15.0|3.0|15.0|6.0|15.0|5|6|4|9|2|9|8|4|2|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|15.0|13.0|5.0|8.0|-4.0|13.0|3.0|8.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|14|15|7|24|9|21|14|21|4|5|5|2|3|7|3|4|6|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|-1.0|-1.0|0.0|0.0|1.0|0.0
6,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|11|13|24|9|18|14|21|5|6|5|9|8|9|8|4|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
8,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|16|15|13|11|16|21|14|11|5|4|4|9|9|9|3|4|7|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,10.0,0.07|0.25|0.2|-0.06|-0.44|0.65|0.37|0.66|0.42|0.04|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.1|0.37|0.74|0.13|0.88|0.04|0.13|0.24|0.57|0.75|9|17|14|15|13|24|9|18|11|11|5|6|5|2|2|9|8|7|7|2,11.0,0.08|0.21|0.01|0.07|-0.45|0.74|0.35|0.46|-0.11|0.03|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|5.0|3.0|2.0|5.0|10.0|6.0|2.0|6.0|6.0|15.0|5|4|5|2|9|9|3|4|2|2,12.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|17.0|12.0|6.0|-3.0|18.0|7.0|15.0|8.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|15|11|13|11|9|21|11|11|5|5|3|2|3|5|3|5|8|3,13.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|1.0|0.0|-1.0|1.0|0.0|-1.0|-1.0|-1.0
13,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|20|14|11|13|24|16|21|14|11|5|4|4|2|2|9|8|3|2|2,14.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
14,1,0.19|0.58|0.56|0.39|0.05|0.6|0.61|0.54|0.14|0.59|9|17|15|11|7|11|16|21|14|11|5|6|5|2|2|6|3|7|2|2,0.17|0.58|0.93|0.0|0.8|0.96|0.34|0.86|0.79|0.98|14|20|14|15|13|24|9|18|11|21|5|4|4|9|9|9|8|4|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,15.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
15,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|15|11|13|11|9|18|11|11|5|6|5|9|9|10|3|6|8|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|-1.0|0.0|1.0|-1.0|0.0
16,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.32|0.59|0.89|0.96|0.8|0.1|0.66|0.61|0.26|0.22|9|20|14|11|13|11|9|18|14|11|5|6|5|2|9|6|3|4|2|2,2.0,-0.18|-0.14|-0.24|-0.73|-0.15|0.36|-0.36|-0.24|-0.01|0.54|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
17,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.21|0.43|0.06|0.49|0.67|0.14|0.81|0.21|0.44|0.67|9|20|15|11|13|11|9|18|14|11|5|6|5|10|9|6|8|7|2|2,3.0,-0.07|0.02|0.59|-0.26|-0.02|0.32|-0.51|0.16|-0.19|0.09|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
18,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.98|0.5|0.96|0.25|0.16|0.28|0.77|0.17|0.86|0.46|9|20|15|11|13|24|16|18|11|11|5|6|5|2|9|9|8|7|7|2,4.0,-0.84|-0.05|-0.31|-0.02|0.49|0.18|-0.47|0.2|-0.61|0.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|15|11|13|24|9|18|14|11|5|3|5|10|9|9|3|7|7|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
20,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|6.0|5.0|10.0|6.0|3.0|2.0|10.0|15.0|10.0|10.0|5|4|5|10|9|6|3|4|7|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|15.0|4.0|9.0|10.0|9.0|6.0|3.0|4.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
21,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|6.0|10.0|5.0|6.0|10.0|3.0|6.0|15.0|2.0|2.0|5|4|5|2|9|9|8|7|2|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|10.0|9.0|5.0|3.0|8.0|10.0|3.0|9.0|9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
22,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|15.0|2.0|5.0|5.0|15.0|10.0|2.0|3.0|5.0|6.0|5|4|5|10|9|6|3|4|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-6.0|18.0|9.0|6.0|-2.0|14.0|7.0|15.0|9.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
23,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|11|13|12|16|18|14|11|5|4|5|10|9|9|8|7|7|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
24,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|14|11|5|4|5|10|9|6|3|4|2|2,10.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
25,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|11|13|24|9|18|14|11|4|6|6|10|9|10|2|7|8|2,11.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|-1.0|0.0|0.0|-1.0|1.0|0.0|-1.0|0.0
26,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|10|11|5|4|5|10|9|6|8|7|7|2,12.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
27,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.44|0.42|0.2|0.66|0.73|0.5|0.8|0.46|0.22|0.97|9|20|14|11|13|11|9|18|11|11|5|6|5|2|9|9|3|7|7|2,13.0,-0.3|0.03|0.45|-0.43|-0.08|-0.04|-0.5|-0.09|0.03|-0.21|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
28,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|2.0|2.0|3.0|3.0|6.0|10.0|5.0|10.0|5.0|6.0|5|6|5|10|9|6|8|7|2|2,14.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|18.0|12.0|12.0|7.0|1.0|4.0|8.0|6.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
29,2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|9|20|15|15|13|24|9|18|11|11|5|4|5|10|9|6|3|7|2|2,0.11|0.33|0.55|0.26|0.87|0.13|0.11|0.04|0.04|0.74|9|20|14|11|13|11|16|18|14|11|5|6|5|2|9|9|8|4|7|2,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|15|11|13|24|16|18|14|11|6|6|4|10|9|6|9|7|7|2,15.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
30,3,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|10|11|5|4|5|10|9|6|8|7|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,0.91|0.97|0.89|0.41|0.68|0.54|0.54|0.7|0.44|0.89|14|17|14|15|13|11|16|18|10|11|5|7|4|9|2|6|8|7|7|2,1.0,-0.75|-0.45|-0.19|-0.19|-0.14|0.08|-0.15|-0.17|-0.08|-0.12|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
31,3,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|10|11|5|4|5|10|9|6|8|7|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,0.3|0.44|0.25|0.51|0.86|0.72|0.57|0.37|0.2|0.02|9|17|14|15|13|11|16|18|10|11|5|4|4|10|9|6|3|7|7|2,2.0,-0.14|0.08|0.45|-0.29|-0.32|-0.1|-0.18|0.16|0.16|0.75|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
32,3,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|10|11|5|4|5|10|9|6|8|7|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,0.16|0.52|0.7|0.22|0.54|0.62|0.39|0.53|0.36|0.77|2.0|5.0|2.0|15.0|6.0|15.0|3.0|5.0|3.0|3.0|5|7|4|10|9|6|8|7|7|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|15.0|12.0|0.0|7.0|-4.0|6.0|13.0|11.0|8.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
33,3,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|10|11|5|4|5|10|9|6|8|7|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,0.79|0.03|0.35|0.78|0.34|0.93|0.46|0.35|0.28|0.96|9|17|14|15|13|11|9|18|14|11|5|4|5|10|2|6|3|7|7|2,4.0,-0.63|0.49|0.35|-0.56|0.2|-0.31|-0.07|0.18|0.08|-0.19|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
34,3,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|10|11|5|4|5|10|9|6|8|7|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,0.16|0.52|0.7|0.22|0.54|0.62|0.39|0.53|0.36|0.77|9|20|14|15|13|11|8|18|10|11|5|4|5|10|2|6|8|7|7|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
35,3,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|10|11|5|4|5|10|9|6|8|7|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,0.75|0.02|0.4|0.42|0.78|0.54|0.64|0.93|0.18|0.88|14|20|14|15|13|11|9|18|14|11|5|7|5|9|9|6|8|7|7|2,6.0,-0.59|0.5|0.3|-0.2|-0.24|0.08|-0.25|-0.4|0.18|-0.11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
36,3,0.14|0.45|0.65|0.23|0.65|0.46|0.3|0.37|0.25|0.76|9|20|14|15|13|11|9|18|10|11|5|4|5|10|9|6|8|7|7|2,0.18|0.58|0.75|0.2|0.43|0.78|0.48|0.7|0.46|0.78|14|17|14|15|13|11|16|18|14|11|5|7|4|9|2|6|3|7|7|2,0.16|0.52|0.7|0.22|0.54|0.62|0.39|0.53|0.36|0.77|14|20|14|15|13|12|16|18|10|11|5|4|4|10|2|6|8|7|7|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
