,generation,mother,father,child,child_no,mutation
0,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|2.0|3.0|2.0|2.0|4.0|2|2|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.24|0.93|0.75|0.44|0.66|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,5.0,-0.24|-0.18|-0.5|0.18|0.22|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|4.0|4.0|2.0|2.0|4.0|2|2|2|2|2,7.0,0.0|0.0|0.0|0.0|0.0|-2.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|5.0|5.0|2.0|5.0|7.0|2|2|2|2|2,8.0,0.0|0.0|0.0|0.0|0.0|-3.0|-3.0|0.0|-3.0|-3.0|0.0|0.0|0.0|0.0|0.0
8,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.51|0.77|0.93|0.11|0.99|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,9.0,-0.51|-0.02|-0.68|0.51|-0.11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|2.0|2.0|2.0|4.0|4.0|2|2|2|2|2,10.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0
10,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|2.0|2.0|2.0|2.0|4.0|2|3|2|2|3,11.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|-1.0
11,1,0.0|1.0|0.25|0.5|0.75|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.5|0.25|0.75|1.0|2.0|2.0|2.0|2.0|4.0|2|2|2|2|2,0.0|0.75|0.25|0.62|0.88|2.0|3.0|3.0|6.0|7.0|2|2|2|2|2,12.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|-4.0|-3.0|0.0|0.0|0.0|0.0|0.0
