,generation,mother,father,child,child_no,mutation
0,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|9|2|2|3|3|8|3,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|-1.0|-1.0
1,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|15|12|19|26|8|2|2|3|3|7|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-2.0|0.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|7|2|2|3|2|8|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|-1.0|0.0
3,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|6.0|5.0|15.0|2.0|10.0|15.0|3.0|8|2|2|3|3|7|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|17.0|6.0|5.0|14.0|0.0|4.0|20.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|3|3|3|7|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
5,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|26|14|19|17|11|22|23|8|2|2|3|3|7|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-3.0|-3.0|1.0|-1.0|-1.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|21|16|10|19|23|8|2|2|3|3|7|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|4|7|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
8,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|22|14|21|19|12|18|23|8|2|2|3|3|7|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-3.0|-1.0|-3.0|-2.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,1,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|23|11|20|16|10|19|23|8|2|2|3|3|7|2,0.68|0.73|0.9|0.69|0.02|0.05|0.56|22|11|20|16|10|19|23|8|2|2|3|3|7|2,10.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
