,generation,mother,father,child,child_no
0,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-3-2-3,1.0
1,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-21-14-17-12-29-13-28-9-2-5-3-2-2-3,2.0
2,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-14-28-9-2-5-3-2-2-3,3.0
3,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-28-13-28-9-2-4-3-2-2-3,4.0
4,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-2-2-2-3,5.0
5,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.56-0.43-0.97-0.67-0.82-0.63-0.74-20-14-17-12-29-13-28-9-2-5-3-2-2-3,6.0
6,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-15-17-12-29-13-28-9-2-5-3-3-2-3,7.0
7,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.34-0.15-0.99-0.52-0.04-0.59-0.21-20-14-17-12-29-13-28-9-2-5-3-2-2-3,8.0
8,1,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-8-2-5-3-2-2-3,9.0
9,2,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-28-13-28-9-2-4-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-30-13-28-8-2-5-3-2-2-3,1.0
10,2,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-28-13-28-9-2-4-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-10-2-4-2-2-2-2,2.0
11,2,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-28-13-28-9-2-4-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-6-3-2-2-3,3.0
12,2,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-28-13-28-9-2-4-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.22-0.83-0.34-0.58-0.52-0.61-0.84-20-14-17-12-28-13-28-9-2-5-3-2-2-3,4.0
13,2,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-28-13-28-9-2-4-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-28-13-28-8-2-5-3-2-2-3,5.0
14,2,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-28-13-28-9-2-4-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-20-14-17-12-29-13-28-9-2-5-3-2-2-3,0.63-0.07-0.08-0.22-0.86-0.25-0.81-19-13-20-15-28-14-28-9-2-4-3-2-2-3,6.0
