,generation,mother,father,child,child_no,mutation
0,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|3|9|2|4,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
1,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|6|6|13|4|9|2|4,2.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
2,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
3,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|5|13|4|9|2|4,4.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
4,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
5,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|5|13|4|9|2|4,6.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
6,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|19|8|6|13|4|9|2|4,7.0,0.0|0.0|0.0|0.0|-1.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
7,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,8.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,2,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|6|6|13|4|8|2|4,9.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0
9,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|19|8|6|13|5|9|2|4,1.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|-1.0|0.0|0.0|0.0
10,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|5|13|4|10|2|4,2.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
11,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|19|7|6|13|3|9|2|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
12,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.64|0.59|0.41|0.54|18|7|6|13|4|9|2|4,4.0,0.0|0.3400000000000001|-0.13999999999999996|-0.52|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.94|0.24|0.86|0.43|19|7|6|13|4|10|2|4,5.0,-0.29999999999999993|0.6900000000000001|-0.59|-0.41|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|19|7|6|13|5|9|2|4,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
15,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|20|7|6|13|4|9|2|4,7.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|8|2|4,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
17,3,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|19|7|6|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,9.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
18,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|3|10|2|4,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
19,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.91|0.79|0.51|0.73|18|7|6|13|4|10|2|4,2.0,-0.27|0.14|-0.24|-0.71|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
20,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|4|10|2|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
21,4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,0.64|0.93|0.27|0.02|18|7|6|13|4|10|2|4,0.64|0.93|0.27|0.02|18|7|7|13|4|9|2|4,4.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
