,generation,mother,father,child,child_no
0,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.48-0.28-0.84-0.48-0.66-0.7-0.5-0.7-19-20-7-24-19-16-10-4-6-5-6-8-6-6-7-4,1.0
1,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.89-0.5-0.62-0.51-0.81-0.42-0.01-0.53-19-29-4-23-12-16-11-4-6-6-6-8-9-6-4-9,2.0
2,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.48-0.28-0.84-0.48-0.66-0.7-0.5-0.7-19-21-11-24-21-12-12-7-6-5-6-7-6-4-7-4,3.0
3,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.31-0.47-0.25-0.41-0.56-0.22-0.88-0.82-16-20-4-23-12-10-11-29-6-6-6-8-9-6-4-9,4.0
4,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.02-0.38-0.23-0.02-0.68-0.9-0.92-0.31-19-29-4-24-12-16-10-4-4-6-6-7-6-4-7-4,5.0
5,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.48-0.28-0.84-0.48-0.66-0.7-0.5-0.7-16-29-4-24-19-16-11-4-7-7-9-6-5-5-4-4,6.0
6,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.48-0.28-0.84-0.48-0.66-0.7-0.5-0.7-16-20-4-23-12-10-11-4-6-6-9-8-8-4-4-4,7.0
7,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.48-0.28-0.84-0.48-0.66-0.7-0.5-0.7-19-20-8-24-12-10-12-4-6-6-9-7-6-6-7-4,8.0
8,1,0.71-0.2-0.89-0.82-0.94-0.98-0.7-0.93-19-20-4-23-19-16-10-4-4-6-6-8-6-4-4-9,0.25-0.35-0.79-0.13-0.38-0.43-0.29-0.48-16-29-8-24-12-10-11-29-6-5-9-7-9-6-7-4,0.11-0.97-0.5-0.51-0.88-0.27-0.29-0.04-16-20-8-24-12-10-10-4-6-5-9-7-9-6-7-4,9.0
9,2,0.46-0.03-0.44-0.54-0.05-0.71-0.99-0.14-20-4-4-15-8-17-19-12-4-9-5-2-4-6-4-5,0.71-0.28-0.27-0.49-0.32-0.94-0.63-0.25-8-14-4-3-27-13-10-20-2-2-5-7-6-9-5-3,0.76-0.31-0.95-0.81-0.2-0.77-0.81-0.56-20-4-4-15-8-13-10-20-2-9-5-7-6-6-5-3,1.0
10,2,0.46-0.03-0.44-0.54-0.05-0.71-0.99-0.14-20-4-4-15-8-17-19-12-4-9-5-2-4-6-4-5,0.71-0.28-0.27-0.49-0.32-0.94-0.63-0.25-8-14-4-3-27-13-10-20-2-2-5-7-6-9-5-3,0.58-0.16-0.36-0.52-0.18-0.82-0.81-0.2-20-4-4-15-27-17-19-12-4-2-5-7-6-9-3-3,2.0
11,2,0.46-0.03-0.44-0.54-0.05-0.71-0.99-0.14-20-4-4-15-8-17-19-12-4-9-5-2-4-6-4-5,0.71-0.28-0.27-0.49-0.32-0.94-0.63-0.25-8-14-4-3-27-13-10-20-2-2-5-7-6-9-5-3,0.58-0.16-0.36-0.52-0.18-0.82-0.81-0.2-8-14-4-3-8-17-10-12-2-3-6-3-7-10-4-4,3.0
12,2,0.46-0.03-0.44-0.54-0.05-0.71-0.99-0.14-20-4-4-15-8-17-19-12-4-9-5-2-4-6-4-5,0.71-0.28-0.27-0.49-0.32-0.94-0.63-0.25-8-14-4-3-27-13-10-20-2-2-5-7-6-9-5-3,0.28-0.61-0.29-0.29-0.44-0.83-0.35-0.96-8-4-4-15-27-13-10-20-4-9-5-2-6-6-5-5,4.0
13,2,0.46-0.03-0.44-0.54-0.05-0.71-0.99-0.14-20-4-4-15-8-17-19-12-4-9-5-2-4-6-4-5,0.71-0.28-0.27-0.49-0.32-0.94-0.63-0.25-8-14-4-3-27-13-10-20-2-2-5-7-6-9-5-3,0.58-0.16-0.36-0.52-0.18-0.82-0.81-0.2-8-4-4-15-27-17-10-20-5-9-5-7-4-6-5-5,5.0
14,2,0.46-0.03-0.44-0.54-0.05-0.71-0.99-0.14-20-4-4-15-8-17-19-12-4-9-5-2-4-6-4-5,0.71-0.28-0.27-0.49-0.32-0.94-0.63-0.25-8-14-4-3-27-13-10-20-2-2-5-7-6-9-5-3,0.58-0.16-0.36-0.52-0.18-0.82-0.81-0.2-8-4-4-3-27-13-10-20-4-3-5-2-6-6-5-3,6.0
15,2,0.46-0.03-0.44-0.54-0.05-0.71-0.99-0.14-20-4-4-15-8-17-19-12-4-9-5-2-4-6-4-5,0.71-0.28-0.27-0.49-0.32-0.94-0.63-0.25-8-14-4-3-27-13-10-20-2-2-5-7-6-9-5-3,0.58-0.16-0.36-0.52-0.18-0.82-0.81-0.2-20-4-4-15-8-17-19-12-2-3-5-7-4-9-5-5,7.0
16,2,0.46-0.03-0.44-0.54-0.05-0.71-0.99-0.14-20-4-4-15-8-17-19-12-4-9-5-2-4-6-4-5,0.71-0.28-0.27-0.49-0.32-0.94-0.63-0.25-8-14-4-3-27-13-10-20-2-2-5-7-6-9-5-3,0.58-0.16-0.36-0.52-0.18-0.82-0.81-0.2-8.0-4.0-4.0-15.0-8.0-13.0-10.0-12.0-4-2-5-2-3-6-5-3,8.0
