,generation,mother,father,child,child_no,mutation
0,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.36|0.86|0.66|0.5|0.2|0.68|0.18|0.86|9|13|9|4|21|20|5|13|5|2|2|6|2|2|4|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|-1.0|1.0
1,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.36|0.86|0.66|0.5|0.2|0.68|0.18|0.86|8|13|9|4|15|20|11|6|2|2|2|2|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|1.0|0.0|4.0|0.0|0.0|1.0|0.0
2,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.36|0.86|0.66|0.5|0.2|0.68|0.18|0.86|9|17|9|4|21|8|11|13|6|3|2|2|2|2|2|3,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
3,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.49|0.36|0.89|0.19|0.65|0.36|0.1|0.65|9|13|9|4|21|8|11|13|5|3|2|2|2|2|3|2,4.0,-0.13|0.5|-0.23|0.31|-0.45|0.32|0.08|0.21|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.64|0.63|0.03|0.42|0.12|0.98|0.83|0.61|9|17|9|4|21|20|11|6|5|3|2|6|2|2|3|3,5.0,-0.28|0.23|0.63|0.08|0.08|-0.3|-0.65|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.78|0.16|0.29|0.09|0.94|0.03|0.45|0.06|9|17|9|6|15|20|5|13|6|3|2|6|2|2|3|2,6.0,-0.42|0.7|0.37|0.41|-0.74|0.65|-0.27|0.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.36|0.86|0.66|0.5|0.2|0.68|0.18|0.86|10.0|5.0|3.0|6.0|3.0|10.0|15.0|5.0|5|3|2|6|2|2|3|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|12.0|6.0|-2.0|18.0|-2.0|-10.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.36|0.86|0.66|0.5|0.2|0.68|0.18|0.86|9|12|9|4|15|8|5|6|5|3|2|6|2|2|3|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.36|0.86|0.66|0.5|0.2|0.68|0.18|0.86|6.0|5.0|15.0|10.0|6.0|15.0|10.0|3.0|6|3|2|6|2|2|3|3,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|12.0|-6.0|-6.0|15.0|-7.0|-5.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,1,0.29|0.86|0.45|0.82|0.22|0.5|0.12|0.73|8|17|9|4|15|8|11|6|6|3|2|2|2|2|3|2,0.43|0.87|0.86|0.17|0.18|0.86|0.23|0.99|9|13|9|6|21|20|5|13|5|3|2|6|2|2|3|3,0.36|0.86|0.66|0.5|0.2|0.68|0.18|0.86|8|17|9|6|21|8|11|13|2|2|2|2|2|2|2|2,10.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|1.0|0.0|4.0|0.0|0.0|1.0|0.0
