,generation,mother,father,child,child_no,mutation
0,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.94|0.51|0.47|0.29|0.36|0.76|0.45|23|12|1|23|8|12|3|7|7|6|9|4|7|2,1.0,-0.08|0.04|-0.03|0.15|0.24|-0.52|0.13|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|24|11|22|24|8|13|15|7|9|7|9|5|7|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|1.0|-2.0|-1.0|0.0|-1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|20|20|7|5|16|7|7|6|10|4|7|6,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
3,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|20|23|8|12|3|6|9|6|9|5|6|3,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|1.0|-1.0
4,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|1|20|8|5|16|7|10|8|8|6|8|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|-1.0|-1.0|0.0|0.0
5,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|20|22|8|12|3|7|9|6|9|5|7|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|14|12|1|20|7|12|3|8|8|5|9|6|8|6,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|1.0|0.0|-1.0|0.0|0.0
7,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|20|23|7|5|3|2|2|2|2|2|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|5.0|5.0|5.0|2.0|6.0|4.0
8,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|14|11|20|23|7|5|3|7|9|6|9|5|8|6,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|24|13|21|24|10|14|3|7|7|7|9|4|7|6,10.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|-1.0|-1.0|-2.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.46|0.7|0.88|0.48|0.64|0.87|0.27|14|12|20|20|8|5|3|7|9|6|9|4|8|6,11.0,0.4|-0.15|-0.44|-0.04|-0.04|-0.63|0.31|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.31|0.61|0.97|0.48|0.99|0.58|0.33|14|12|20|23|8|12|16|7|7|6|7|5|8|6,12.0,0.55|-0.06|-0.53|-0.04|-0.39|-0.34|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|22|14|4|24|9|4|17|7|7|6|9|4|7|6,13.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-2.0|-3.0|-1.0|-2.0|1.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|20|23|8|12|3|2|2|2|2|2|2|2,14.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|7.0|5.0|5.0|3.0|6.0|0.0
14,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|1|20|7|12|16|8|6|6|9|6|7|2,15.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|1.0|1.0|0.0|-1.0|0.0|0.0
15,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|20|20|8|12|16|7|9|7|6|5|7|2,16.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
16,1,0.87|0.24|0.15|0.14|0.4|0.11|0.32|23|12|1|20|7|5|3|7|9|7|7|4|7|6,0.84|0.86|0.73|0.74|0.81|0.37|0.85|14|12|20|23|8|12|16|7|7|6|9|5|8|2,0.86|0.55|0.44|0.44|0.6|0.24|0.58|23|12|1|20|7|12|16|2|2|2|2|2|2|2,17.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|5.0|4.0|7.0|2.0|5.0|0.0
