,generation,mother,father,child,child_no,mutation
0,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.03|0.12|0.38|0.65|0.39|0.14|12|14|18|10|3|26|5|6|3|2|6|6,1.0,0.85|0.58|0.19999999999999996|-0.23000000000000004|-0.020000000000000018|0.15999999999999998|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.88|0.7|0.58|0.42|0.37|0.3|23|28|21|10|21|28|8|3|3|2|4|3,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|-2.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.82|0.43|0.03|0.26|0.65|0.73|23|29|18|18|3|26|8|3|3|2|4|3,3.0,0.06000000000000005|0.26999999999999996|0.5499999999999999|0.15999999999999998|-0.28|-0.43|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.88|0.7|0.58|0.42|0.37|0.3|23|28|18|10|3|21|8|3|3|2|6|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
5,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.88|0.7|0.58|0.42|0.37|0.3|12|14|20|10|19|21|5|3|3|2|4|3,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.88|0.7|0.58|0.42|0.37|0.3|12|29|18|18|18|21|5|3|3|2|6|3,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.88|0.7|0.58|0.42|0.37|0.3|12|14|21|18|4|21|5|3|3|2|6|3,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.97|0.87|0.77|0.72|0.58|0.53|23|29|18|10|3|26|5|3|3|2|4|6,0.78|0.54|0.4|0.12|0.16|0.08|12|14|21|18|19|21|8|6|3|2|6|3,0.88|0.7|0.58|0.42|0.37|0.3|23|14|21|18|19|26|5|3|2|2|4|3,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
9,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|12.0|29.0|25.0|10.0|3.0|16.0|2|2|3|7|6|6,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
10,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.54|0.23|0.49|0.31|0.44|0.17|9.0|29.0|25.0|15.0|8.0|16.0|5|2|3|3|5|6,2.0,0.30999999999999994|0.12999999999999998|0.030000000000000027|-0.010000000000000009|0.0|0.47|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|12.0|15.0|20.0|16.0|8.0|20.0|5|2|7|3|6|6,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|1.0|-1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
12,2,0.88|0.7|0.58|0.42|0.37|0.3|12.0|29.0|21.0|10.0|3.0|21.0|5|6|3|3|6|6,0.82|0.02|0.47|0.19|0.51|0.99|9|14|25|15|8|16|2|2|7|8|5|6,0.85|0.36|0.52|0.3|0.44|0.64|9.0|29.0|21.0|15.0|3.0|16.0|2|6|4|3|5|6,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
