,generation,mother,father,child,child_no,mutation
0,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|9|14|13|13|19|26|20|5|5|2|6|7|6|6|5|3,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-3.0|0.0|-1.0|-3.0|-1.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|6|6|2|7|7|6|6|6|3,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|0.0|-1.0|0.0|0.0|0.0|-1.0|0.0
2,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|7|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|5|7|6|6|5|3,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
4,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.18|0.3|0.2|0.44|0.66|0.27|0.17|0.31|0.23|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,5.0,0.6699999999999999|-0.019999999999999962|0.34|-0.09999999999999998|0.26|0.41000000000000003|0.36|-0.1|0.05000000000000002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|4|4|2|5|7|6|5|6|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|-1.0|1.0
6,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.46|0.54|0.47|0.59|0.73|0.05|0.99|0.72|0.26|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,7.0,0.38999999999999996|-0.26|0.07000000000000006|-0.24999999999999994|0.19000000000000006|0.63|-0.45999999999999996|-0.51|0.020000000000000018|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|24|17|5|5|2|6|7|6|6|5|3,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|8|6|6|5|3,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
9,2,0.18|0.3|0.2|0.44|0.66|0.27|0.17|0.31|0.23|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,0.85|0.28|0.54|0.34|0.92|0.68|0.53|0.21|0.28|21|12|8|11|13|12|16|25|17|5|5|2|6|8|6|6|5|3,0.87|0.24|0.57|0.99|0.44|0.8|0.29|0.68|0.92|21|12|8|11|13|12|16|25|17|5|5|2|6|7|6|6|5|3,1.0,-0.35|0.04999999999999999|-0.19999999999999996|-0.6|0.35000000000000003|-0.32000000000000006|0.06|-0.42000000000000004|-0.66|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
