,generation,mother,father,child,child_no,mutation
0,1,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
1,1,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,2,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14|7|4|4|3|9|5|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0
3,2,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,3,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.28|0.76|0.81|0.28|14|7|5|4|3|9|4|5,1.0,0.54|0.03|-0.51|0.49|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,3,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14|6|5|4|3|8|4|5,2.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
6,4,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14|6|5|4|3|10|4|5,1.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0|0.0
7,4,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,5,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|15.0|6.0|8.0|4.0|3|8|4|5,1.0,0.0|0.0|0.0|0.0|-1.0|1.0|-3.0|0.0|0.0|0.0|0.0|0.0
9,5,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|6.0|5.0|4.0|3|9|4|5,2.0,0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0|0.0|0.0
10,6,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|2|9|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
11,6,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14|7|5|4|3|9|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|9|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12,7,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
13,7,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
14,8,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|2|8|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
15,8,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16,9,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.76|0.53|0.3|0.02|14.0|7.0|5.0|4.0|3|7|4|5,1.0,0.06|0.26|0.0|0.75|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
17,9,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
18,10,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19,10,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|2|8|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
20,11,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
21,11,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|3.0|3|8|4|6,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|-1.0
22,12,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
23,12,0.82|0.79|0.3|0.77|14|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|8|4|5,0.82|0.79|0.3|0.77|13|7|5|4|3|8|4|5,2.0,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
24,13,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|13|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
25,13,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|13|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|18.0|10.0|6.0|6.0|3|7|4|5,2.0,0.0|0.0|0.0|0.0|-4.0|-3.0|-1.0|-2.0|0.0|0.0|0.0|0.0
26,14,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|13|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|2|7|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
27,14,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|13|7|5|4|3|8|4|5,0.82|0.79|0.3|0.77|13.0|11.0|8.0|6.0|3|7|4|5,2.0,0.0|0.0|0.0|0.0|0.0|-4.0|-3.0|-2.0|0.0|0.0|0.0|0.0
28,15,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
29,15,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|5|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
30,16,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
31,16,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|6|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,0.82|0.79|0.3|0.77|14.0|7.0|5.0|4.0|3|7|4|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
