,generation,mother,father,child,child_no,mutation
0,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30.0|30.0|29.0|24.0|2|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
1,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|30|29|24|2|2|3|2,2.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|-1.0|0.0
2,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|30|29|24|2|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
3,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|30|29|24|2|2|2|2,4.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
4,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30.0|30.0|29.0|24.0|2|2|2|2,5.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
5,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|30|29|24|2|2|2|2,6.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
6,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30.0|30.0|29.0|24.0|2|3|2|2,7.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|-1.0|0.0|0.0
7,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|30|29|24|2|3|2|2,8.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|-1.0|0.0|0.0
8,8,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.54|0.14|0.76|0.18|30|30|29|24|2|2|2|2,9.0,-0.49000000000000005|0.5|-0.010000000000000009|0.18|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
9,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.82|0.91|0.69|0.92|30|30|29|24|2|2|2|2,1.0,-0.39999999999999997|-0.30000000000000004|0.1100000000000001|-0.43000000000000005|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
10,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.42|0.61|0.8|0.49|30.0|30.0|29.0|26.0|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
11,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.42|0.61|0.8|0.49|30.0|30.0|29.0|24.0|2|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
12,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.67|0.33|0.43|0.95|30|30|29|26|2|2|2|2,4.0,-0.25000000000000006|0.27999999999999997|0.37000000000000005|-0.45999999999999996|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
13,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.42|0.61|0.8|0.49|30.0|30.0|29.0|26.0|2|2|2|2,5.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
14,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.42|0.61|0.8|0.49|30|30|30|24|2|2|2|2,6.0,0.0|0.0|0.0|0.0|0.0|13.0|-1.0|0.0|0.0|0.0|0.0|0.0
15,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.95|0.93|0.13|0.32|30|30|29|26|2|2|2|2,7.0,-0.53|-0.32000000000000006|0.67|0.16999999999999998|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
16,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.42|0.61|0.8|0.49|30|30|30|24|2|2|2|2,8.0,0.0|0.0|0.0|0.0|0.0|13.0|-1.0|0.0|0.0|0.0|0.0|0.0
17,9,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.42|0.61|0.8|0.49|30|30|29|26|2|3|2|2,9.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|-1.0|0.0|0.0
18,10,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.42|0.61|0.8|0.49|30|30|29|24|2|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
19,10,0.05|0.64|0.75|0.36|30|43|29|24|2|2|2|2,0.79|0.58|0.85|0.62|30|43|29|26|2|2|2|2,0.42|0.61|0.8|0.49|30.0|30.0|29.0|24.0|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0
