,generation,mother,father,child,child_no
0,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,1.0
1,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-18-15-4-2-2-2-2,2.0
2,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-3-2-2,3.0
3,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-18-15-4-2-2-2-2,4.0
4,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-17-16-19-15-4-2-2-2-2,5.0
5,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,6.0
6,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-23-17-16-19-18-4-2-2-2-2,7.0
7,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-3-2,8.0
8,3,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20-16-16-19-15-4-2-2-2-2,0.06-0.11-0.29-0.67-0.61-20.0-16.0-16.0-19.0-15.0-5-2-2-2-2,9.0
9,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.58-0.99-0.99-0.19-0.06-20-16-16-19-15-4-2-2-2-2,1.0
10,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.69-0.77-0.3-0.1-0.06-20.0-16.0-16.0-19.0-15.0-4-2-3-2-2,2.0
11,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.69-0.77-0.3-0.1-0.06-20-16-16-19-15-4-2-3-2-2,3.0
12,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.69-0.77-0.3-0.1-0.06-20-16-17-19-15-4-2-2-2-2,4.0
13,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.69-0.77-0.3-0.1-0.06-20-16-17-19-15-4-2-2-2-2,5.0
14,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.69-0.77-0.3-0.1-0.06-23-18-16-19-17-4-2-2-2-2,6.0
15,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.69-0.77-0.3-0.1-0.06-20-16-16-19-15-3-2-2-2-2,7.0
16,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.69-0.77-0.3-0.1-0.06-20.0-16.0-16.0-19.0-15.0-4-2-2-2-2,8.0
17,4,0.6-0.97-0.39-0.06-0.03-20-16-16-19-15-4-2-2-2-2,0.78-0.58-0.21-0.14-0.09-20-16-16-19-15-4-2-2-2-2,0.69-0.77-0.3-0.1-0.06-20-16-16-19-15-4-2-2-2-2,9.0
