,generation,mother,father,child,child_no,mutation
0,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|7|27|22|18|10|9|8|8|2|8|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|8|9|8|2|9|3|3,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|0.0|0.0|-1.0|-1.0|-1.0
2,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|28|3|8|27|23|21|13|9|8|8|2|8|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|-1.0|-3.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|23|18|10|9|8|8|2|8|2|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|8|9|9|2|7|3|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-1.0|-1.0|0.0|1.0|-1.0|0.0
5,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|9|2|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
6,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27.0|3.0|8.0|27.0|22.0|18.0|10.0|9|8|8|2|8|2|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|26|6|11|27|25|19|10|9|8|8|2|8|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-3.0|-3.0|0.0|-3.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|28|3|8|27|22|18|10|9|8|8|2|7|2|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
9,2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27|3|8|27|22|18|10|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27.0|3.0|8.0|27.0|22.0|18.0|10.0|9|8|8|2|8|2|2,0.69|0.99|0.67|0.72|0.5|0.41|0.09|27.0|3.0|8.0|27.0|22.0|19.0|10.0|9|9|8|2|8|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
