,generation,mother,father,child,child_no,mutation
0,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.13|0.6|0.89|0.24|0.81|0.31|0.46|0.58|18|4|3|16|6|8|14|9|4|8|8|8|7|8|7|3,1.0,0.07999999999999999|-0.39999999999999997|-0.27|0.48|-0.15000000000000002|0.23000000000000004|0.22000000000000003|-0.09999999999999998|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.21|0.2|0.62|0.72|0.66|0.54|0.68|0.48|18|5|3|18|21|8|14|16|7|8|8|8|5|4|8|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|-1.0|-1.0|-1.0
2,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.21|0.2|0.62|0.72|0.66|0.54|0.68|0.48|20|4|2|16|8|24|15|15|4|8|8|8|5|3|7|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|1.0|1.0|0.0|-2.0|-1.0|-1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.04|0.21|0.81|0.71|0.19|0.44|0.97|0.54|18|5|19|18|6|8|14|9|4|7|9|8|5|8|2|4,4.0,0.16999999999999998|-0.009999999999999981|-0.19000000000000006|0.010000000000000009|0.47000000000000003|0.10000000000000003|-0.2899999999999999|-0.06000000000000005|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.21|0.2|0.62|0.72|0.66|0.54|0.68|0.48|18|4|3|18|6|23|14|16|8|8|9|8|5|8|7|4,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.54|0.22|0.01|0.39|0.66|0.38|0.71|0.79|3|5|3|16|21|23|14|9|4|7|9|8|7|8|7|3,6.0,-0.33000000000000007|-0.01999999999999999|0.61|0.32999999999999996|0.0|0.16000000000000003|-0.029999999999999916|-0.31000000000000005|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.21|0.2|0.62|0.44|0.24|0.02|0.22|0.13|18|4|19|16|6|23|14|16|8|8|9|8|5|8|2|3,7.0,0.0|0.0|0.0|0.27999999999999997|0.42000000000000004|0.52|0.4600000000000001|0.35|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.76|0.56|0.16|0.62|0.64|0.79|0.88|0.37|3|5|19|18|21|8|22|16|4|7|8|8|5|3|7|3,8.0,-0.55|-0.36000000000000004|0.45999999999999996|0.09999999999999998|0.020000000000000018|-0.25|-0.19999999999999996|0.10999999999999999|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.1|0.16|0.36|0.82|0.73|0.08|0.79|0.61|3|4|3|16|6|23|22|9|8|7|9|8|5|3|2|4,0.32|0.25|0.87|0.61|0.58|0.99|0.58|0.36|18|5|19|18|21|8|14|16|4|8|8|8|7|8|7|3,0.53|0.21|0.2|0.67|0.27|0.42|0.17|0.58|18|5|3|16|6|23|14|16|4|7|8|8|7|3|2|4,9.0,-0.32000000000000006|-0.009999999999999981|0.42|0.04999999999999993|0.39|0.12000000000000005|0.51|-0.09999999999999998|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,2,0.72|0.95|0.54|0.58|0.19|0.5|0.66|0.21|3|17|3|3|6|8|11|2|4|3|4|8|2|3|4|5,0.4|0.63|0.26|0.29|0.19|0.33|0.91|0.28|4|10|5|1|19|3|17|18|6|3|2|4|8|5|3|7,0.56|0.79|0.4|0.43|0.19|0.42|0.78|0.24|3|17|3|1|6|8|18|2|4|3|2|4|8|3|3|7,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
