,generation,mother,father,child,child_no
0,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.45-0.34-0.34-0.5-0.5-0.86-3-8-8-1-3-3-10-2-7-3-4-3,1.0
1,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.45-0.34-0.34-0.5-0.5-0.86-5-8-8-9-7-3-5-2-3-3-4-8,2.0
2,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.45-0.34-0.34-0.5-0.5-0.86-7-8-8-9-3-1-5-6-3-3-4-3,3.0
3,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.45-0.34-0.34-0.5-0.5-0.86-4-8-8-9-7-1-9-6-7-3-2-7,4.0
4,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.64-0.89-0.8-0.56-0.11-0.82-4-8-8-1-3-1-9-6-7-3-4-8,5.0
5,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.45-0.34-0.34-0.5-0.5-0.86-7-7-1-10-5-2-9-2-3-3-4-3,6.0
6,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.45-0.34-0.34-0.5-0.5-0.86-4-8-8-9-8-3-8-6-7-3-2-8,7.0
7,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.45-0.34-0.34-0.5-0.5-0.86-4-8-8-9-3-1-4-6-6-3-4-2,8.0
8,1,0.33-0.24-0.06-0.93-0.29-0.85-4-8-1-1-7-3-5-6-7-3-4-8,0.57-0.44-0.61-0.08-0.7-0.88-6-8-8-9-3-1-9-2-3-3-2-3,0.35-0.1-0.74-0.04-0.87-0.44-6-8-8-1-3-3-9-2-3-3-4-8,9.0
9,2,0.45-0.34-0.34-0.5-0.5-0.86-3-8-8-1-3-3-10-2-7-3-4-3,0.21-0.19-0.13-0.6-0.01-0.87-4-1-2-3-2-4-2-7-2-6-9-8,0.33-0.26-0.24-0.55-0.26-0.86-3-1-9-3-3-4-2-7-7-3-8-3,1.0
