,generation,mother,father,child,child_no
0,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-17-14-7-4-9-3-2-6-2-2,1.0
1,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.14-0.31-0.16-0.74-0.83-0.87-0.01-12-11-22-9-16-14-7-4-9-3-2-7-2-2,2.0
2,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-23-9-16-14-7-4-9-3-2-7-2-2,3.0
3,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-8-3-2-7-2-2,4.0
4,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-3-9-3-3-6-2-2,5.0
5,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-13-12-25-12-18-15-9-4-9-3-2-7-2-2,6.0
6,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-11-11-22-9-16-14-7-4-9-3-2-7-2-2,7.0
7,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.19-0.77-0.8-0.88-0.66-0.83-0.46-12-11-22-9-16-14-7-4-9-3-2-7-2-2,8.0
8,4,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-23-9-16-14-7-4-9-3-2-6-2-2,9.0
9,5,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-23-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-8-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-8-3-2-6-2-2,1.0
10,5,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-23-9-16-14-7-4-9-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-22-9-16-14-7-4-8-3-2-7-2-2,0.44-0.01-0.99-0.84-0.56-0.86-0.81-12-11-23-8-16-14-7-4-9-3-2-6-2-2,2.0
