,generation,mother,father,child,child_no,mutation
0,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|18|20|14|25|3|17|16|15|17|8|6|6|9|2|7|4|8|7,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|9|12|14|16|10|17|16|16|14|6|5|5|6|9|2|4|6|7,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.84|0.2|0.58|0.4|0.44|0.7|0.93|0.86|0.58|10|12|23|25|3|13|24|23|17|7|5|6|9|9|2|7|8|4,3.0,-0.49|0.6399999999999999|-0.33999999999999997|-0.29000000000000004|0.06|-0.39999999999999997|-0.7100000000000001|-0.19999999999999996|0.06000000000000005|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|11|20|14|16|10|13|16|16|14|7|6|6|9|9|7|4|8|7,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|18|20|14|25|3|13|24|24|17|7|5|5|9|9|7|4|8|4,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.17|0.05|0.93|0.18|0.52|0.07|0.51|0.62|0.14|18|20|14|25|10|17|24|16|14|7|5|6|9|9|2|7|6|4,6.0,0.17999999999999997|0.7899999999999999|-0.6900000000000001|-0.06999999999999999|-0.020000000000000018|0.22999999999999998|-0.29000000000000004|0.040000000000000036|0.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.25|0.55|0.6|0.55|0.09|0.98|0.39|0.99|0.39|10|12|14|25|10|13|24|16|17|6|6|6|9|2|2|4|8|4,7.0,0.09999999999999998|0.2899999999999999|-0.36|-0.44000000000000006|0.41000000000000003|-0.6799999999999999|-0.17|-0.32999999999999996|0.25|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|18|12|14|25|10|17|16|23|17|7|5|7|9|9|7|4|8|7,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.66|0.82|0.21|0.19|0.74|0.01|0.35|0.85|0.92|18|12|14|16|3|17|16|23|14|7|6|6|6|9|2|4|8|4,0.04|0.85|0.26|0.03|0.26|0.6|0.08|0.47|0.36|10|20|23|25|10|13|24|16|17|6|5|6|9|2|7|7|6|7,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
9,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.47|0.75|0.66|0.62|0.76|0.0|0.36|0.8|0.22|9|12|11|8|21|20|23|28|14|5|3|5|3|2|2|4|2|9,1.0,-0.27999999999999997|0.15000000000000002|-0.29000000000000004|-0.5|-0.3|0.36|-0.10999999999999999|-0.06000000000000005|0.4600000000000001|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.45|0.58|0.68|0.8|0.05|0.91|0.88|0.25|0.59|9|12|14|8|10|14|23|16|11|7|6|5|8|2|2|4|2|9,2.0,-0.26|0.32000000000000006|-0.31000000000000005|-0.68|0.41000000000000003|-0.55|-0.63|0.49|0.09000000000000008|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.19|0.9|0.37|0.12|0.46|0.36|0.25|0.74|0.68|10|12|14|25|21|14|23|28|11|5|3|7|3|8|2|4|8|9,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
12,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.7|0.89|0.47|0.31|0.05|0.77|0.27|0.81|0.02|10|5|11|8|21|20|24|28|11|7|6|6|8|8|2|9|2|7,4.0,-0.51|0.010000000000000009|-0.09999999999999998|-0.19|0.41000000000000003|-0.41000000000000003|-0.020000000000000018|-0.07000000000000006|0.66|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.19|0.9|0.37|0.12|0.46|0.36|0.25|0.74|0.68|12|15|14|27|10|16|23|15|10|5|6|6|3|8|8|9|2|9,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-3.0|-3.0|0.0|-2.0|0.0|-2.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.19|0.9|0.37|0.12|0.46|0.36|0.25|0.74|0.68|9|5|11|8|21|20|24|28|11|8|2|6|2|2|2|8|3|6,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|1.0|-1.0|1.0|0.0|0.0|1.0|-1.0|1.0
15,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.33|0.62|0.3|0.75|0.8|0.23|0.18|0.51|0.98|10|12|14|25|21|14|23|16|11|7|6|5|3|8|2|9|2|9,7.0,-0.14|0.28|0.07|-0.63|-0.34|0.12999999999999998|0.07|0.22999999999999998|-0.29999999999999993|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.19|0.9|0.37|0.12|0.46|0.36|0.25|0.74|0.68|9|12|14|8|20|14|23|16|11|5|3|5|8|8|2|5|2|9,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
17,2,0.04|0.97|0.5|0.13|0.42|0.42|0.28|0.82|0.71|9|5|11|8|21|20|23|28|11|5|3|5|3|8|8|9|2|9,0.35|0.84|0.24|0.11|0.5|0.3|0.22|0.66|0.64|10|12|14|25|10|14|24|16|14|7|6|6|8|2|2|4|8|7,0.19|0.9|0.37|0.12|0.46|0.36|0.25|0.74|0.68|11|5|14|25|21|20|23|28|14|7|6|6|8|2|8|9|7|7,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
18,3,0.86|0.82|0.69|0.51|0.66|0.76|0.64|0.37|0.31|27|15|7|19|4|13|8|15|8|8|6|9|5|7|4|2|6|8,0.7|0.89|0.47|0.31|0.05|0.77|0.27|0.81|0.02|10|5|11|8|21|20|24|28|11|7|6|6|8|8|2|9|2|7,0.96|0.65|0.19|0.24|0.55|0.88|0.47|0.61|0.09|27|5|7|19|4|13|24|15|8|7|6|6|8|7|4|9|2|7,1.0,-0.17999999999999994|0.20999999999999996|0.38999999999999996|0.16999999999999998|-0.19000000000000006|-0.12|-0.009999999999999953|-0.020000000000000018|0.07|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19,3,0.86|0.82|0.69|0.51|0.66|0.76|0.64|0.37|0.31|27|15|7|19|4|13|8|15|8|8|6|9|5|7|4|2|6|8,0.7|0.89|0.47|0.31|0.05|0.77|0.27|0.81|0.02|10|5|11|8|21|20|24|28|11|7|6|6|8|8|2|9|2|7,0.78|0.86|0.58|0.41|0.36|0.76|0.46|0.59|0.16|27|5|10|10|4|21|11|15|12|8|6|6|8|8|2|2|2|7,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-2.0|0.0|-1.0|-3.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
