,generation,mother,father,child,child_no,mutation
0,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|2|18|6|1|17|18|6|10|5|2|4|2|6|2|2|5|6|9,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0.0
1,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|20|18|6|4|2|18|5|12|9|3|4|2|2|2|2|5|6|9,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|20|16|15|4|17|1|5|7|9|5|4|2|7|2|2|6|7|8,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|1.0|0.0|-1.0|-1.0|1.0
3,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|11.0|11.0|2.0|2.0|11.0|11.0|11.0|11.0|11.0|2|4|8|2|3|2|8|4|9,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-9.0|7.0|4.0|-1.0|6.0|7.0|-6.0|-4.0|-6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|20|18|15|4|17|18|6|7|5|6|4|7|7|2|2|9|4|8,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|1.0|-1.0|1.0|0.0|-1.0|0.0|1.0
5,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|2|17|15|4|19|1|5|9|4|5|4|8|6|2|2|5|4|9,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|-2.0|0.0|1.0|-2.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.34|0.05|0.67|0.92|0.76|0.85|0.26|0.53|0.25|2|18|6|1|2|1|6|12|9|2|4|2|6|2|2|8|4|4,7.0,0.09|0.49|-0.57|-0.34|-0.15|-0.33|-0.06|-0.07|0.11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|21|19|16|3|18|19|7|13|8|2|4|2|2|2|2|8|4|4,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|-1.0|1.0|-1.0|-1.0|-1.0|-1.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|20|16|6|1|2|1|5|7|5|2|4|2|2|3|2|5|6|9,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|2|18|6|1|2|18|6|7|5|5|4|2|3|3|2|5|4|9,10.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
10,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|1|20|18|5|4|20|5|15|10|2|4|8|2|3|2|5|4|9,11.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|-2.0|-3.0|-1.0|-2.0|-2.0|1.0|-3.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.22|0.55|0.35|0.06|0.39|0.22|0.56|0.46|0.59|20|18|6|1|17|1|5|7|9|5|4|8|6|2|2|5|4|4,12.0,0.21|-0.01|-0.25|0.52|0.22|0.3|-0.36|0.0|-0.23|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|11.0|11.0|2.0|11.0|11.0|11.0|11.0|2.0|11.0|2|4|8|2|2|2|8|6|4,13.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|9.0|7.0|4.0|-7.0|6.0|-10.0|-6.0|10.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|18|16|15|1|2|1|5|12|5|4|4|8|2|3|2|8|4|9,14.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|20.0|16.0|6.0|4.0|2.0|1.0|5.0|12.0|5.0|5|4|8|6|2|2|5|6|4,15.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|1|18|9|3|19|18|4|11|4|5|4|2|6|3|2|5|4|9,16.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|-3.0|-2.0|-2.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
16,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.71|0.3|0.69|0.87|0.64|0.08|0.42|0.36|0.9|2|18|15|4|17|18|5|7|5|5|4|2|2|3|2|5|6|4,17.0,-0.28|0.24|-0.59|-0.29|-0.03|0.44|-0.22|0.1|-0.54|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
17,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|22|19|6|4|19|17|6|7|6|2|4|8|2|2|2|5|6|4,18.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|-1.0|0.0|-3.0|-2.0|1.0|-1.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
18,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|2|18|15|4|17|1|6|12|5|5|4|8|2|3|2|8|3|4,19.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
19,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|20|16|6|1|17|1|6|7|5|5|5|2|3|2|2|4|5|4,20.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|-1.0|0.0|0.0|1.0|1.0|0.0
20,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.92|0.58|0.03|0.4|0.59|0.79|1.0|0.18|0.58|20|18|15|1|2|1|5|12|9|5|4|8|6|2|2|5|6|4,21.0,-0.49|-0.04|0.07|0.18|0.02|-0.27|-0.8|0.28|-0.22|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
21,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|11.0|11.0|11.0|11.0|2.0|11.0|2.0|2.0|2.0|2|4|2|6|2|2|8|6|9,22.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|9.0|7.0|-5.0|-10.0|0.0|7.0|4.0|10.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
22,1,0.41|0.28|0.01|0.94|0.99|0.78|0.37|0.55|0.2|2|18|6|4|17|18|5|7|5|2|4|2|6|2|2|8|6|9,0.45|0.79|0.18|0.23|0.23|0.26|0.02|0.38|0.52|20|16|15|1|2|1|6|12|9|5|4|8|2|3|2|5|4|4,0.43|0.54|0.1|0.58|0.61|0.52|0.2|0.46|0.36|20|18|6|4|17|2|5|12|5|2|4|8|2|3|2|8|6|4,23.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
