,generation,mother,father,child,child_no,mutation
0,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|16|5|13|15|23|6|2|5|2|4|5|7|2|8,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|15|29|15|7|15|5|13|15|23|6|2|5|2|3|5|7|2|8,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0
2,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|3|5|3|5|5|7|3|9,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|-1.0|-1.0|0.0|0.0|-1.0|-1.0
3,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|28|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.59|0.52|0.45|0.87|0.63|0.16|0.83|0.03|0.12|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,5.0,-0.45999999999999996|0.20999999999999996|0.0|-0.81|-0.19|0.4099999999999999|-0.2699999999999999|0.71|0.11000000000000001|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|14|7|15|5|13|15|23|6|3|5|2|4|5|7|2|8,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|14|23|6|2|5|2|4|5|7|2|8,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|3|4|5|7|2|8,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
8,5,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|2|5|2|5|5|7|2|8,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0
9,6,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|14|7|15|5|13|15|23|6|3|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|28|15|7|15|5|13|15|23|6|2|5|2|4|5|7|2|8,0.13|0.73|0.45|0.06|0.44|0.57|0.56|0.74|0.23|14|29|15|7|15|5|13|15|23|6|3|5|3|4|5|7|2|8,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
