,generation,mother,father,child,child_no,mutation
0,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.45|0.98|0.6|0.15|0.95|0.19|0.76|0.9|0.95|0.72|0.83|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0,0.4|-0.63|-0.44|0.26|-0.41|0.48|-0.6|-0.58|-0.43|-0.22|0.09|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|9.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|3|2|2|2|2|3|2|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
4,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|7.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|6.0|2.0|6.0|3.0|15.0|2.0|6.0|3.0|3.0|6.0|15.0|2|2|2|2|2|2|2|2|2|2|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|6.0|2.0|5.0|-7.0|6.0|2.0|5.0|5.0|2.0|-7.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|10.0|8.0|11.0|7.0|11.0|10.0|8.0|7.0|11.0|8.0|2|2|2|2|2|2|2|2|2|2|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0.0|-3.0|1.0|-3.0|-2.0|0.0|1.0|-3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|9.0|8.0|2|2|2|2|2|2|2|2|2|2|2,10.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
10,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,11.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|3|2,12.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
12,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|9.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,13.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|5.0|2.0|15.0|10.0|5.0|3.0|15.0|15.0|5.0|10.0|2.0|2|2|2|2|2|2|2|2|2|2|2,14.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|6.0|-7.0|-2.0|3.0|5.0|-7.0|-7.0|3.0|-2.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
14,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|3|2|3|2|3|2|3|2|2|2,15.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|-1.0|0.0|-1.0|0.0|-1.0|0.0|0.0|0.0
15,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|6.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|4|2|2|2|2,16.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0.0|0.0|0.0|0.0
16,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.05|0.76|0.67|0.99|0.23|0.92|0.41|0.65|0.9|0.55|0.89|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,17.0,0.8|-0.41|-0.51|-0.58|0.31|-0.25|-0.25|-0.33|-0.38|-0.05|0.03|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
17,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.25|0.74|0.52|0.92|0.07|0.86|0.02|0.39|0.72|0.49|0.06|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,18.0,0.6|-0.39|-0.36|-0.51|0.47|-0.19|0.14|-0.07|-0.2|0.01|0.86|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
18,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,19.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|3|2|2|2|2|2|2|3|3|3,20.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|-1.0
20,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|3|2|2,21.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
21,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,22.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
22,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|10.0|9.0|10.0|8.0|10.0|9.0|9.0|9.0|9.0|10.0|7.0|2|2|2|2|2|2|2|2|2|2|2,23.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|-1.0|-2.0|0.0|-2.0|-1.0|-1.0|-1.0|-1.0|-2.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
23,1,0.7|0.6777777777777777|0.15555555555555556|0.5333333333333333|0.8777777777777778|1.0|0.2888888888888889|0.022222222222222223|0.6333333333333333|0.07777777777777778|0.911111111111111|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,1.0|0.030303030303030304|0.17171717171717174|0.29292929292929293|0.20202020202020204|0.3434343434343435|0.04040404040404041|0.6161616161616161|0.41414141414141414|0.9191919191919192|0.9292929292929294|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,0.85|0.35|0.16|0.41|0.54|0.67|0.16|0.32|0.52|0.5|0.92|8.0|8.0|7.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|2|2|2|2|2|2|2|2|2|2|2,24.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
