,generation,mother,father,child,child_no
0,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-12-19-8-13-22-6-4-15-27-2-5-5-5-2-2-5-5-2,1.0
1,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-3-5-5-5-2-2-5-5-2,2.0
2,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-4-5-5-2-2-5-5-2,3.0
3,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-20-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,4.0
4,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-11-21-5-5-13-25-3-5-5-5-2-2-5-5-2,5.0
5,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.85-0.39-0.3-0.52-0.32-0.05-0.45-0.54-0.73-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,6.0
6,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-10-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,7.0
7,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-6-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,8.0
8,8,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-13-21-5-5-13-25-2-5-5-5-2-2-5-5-2,9.0
9,9,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-10-19-5-12-21-5-5-13-25-2-5-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-4-5-5-2-2-5-5-2,0.86-0.44-0.19-0.75-0.43-0.11-0.38-0.36-0.63-11-19-5-12-21-5-5-13-25-2-5-5-5-3-2-5-5-2,1.0
