,generation,mother,father,child,child_no,mutation
0,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.7|0.52|0.99|0.61|0.32|0.46|0.11|11|23|8|8|27|27|24|8|2|5|2|2|2|2,1.0,-0.36999999999999994|0.040000000000000036|-0.22999999999999998|0.25|0.0|-0.35000000000000003|0.78|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|24|8|8|27|27|24|8|2|5|2|2|2|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|7|2|5|2|2|2|2,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
3,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|4|2|2|2|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0
4,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.99|0.11|1.0|0.88|0.86|0.16|0.25|11|23|8|8|27|27|24|8|2|5|2|2|2|2,5.0,-0.6599999999999999|0.45000000000000007|-0.24|-0.020000000000000018|-0.54|-0.05|0.64|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|9|27|27|24|9|2|5|2|2|2|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
6,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|28|27|24|8|2|5|2|2|2|2,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|9|2|6|3|3|2|3,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|-1.0|-1.0|-1.0|0.0|-1.0
8,8,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.19|0.95|0.23|0.84|0.49|0.26|0.48|11|23|8|8|27|27|24|8|2|5|2|2|2|2,9.0,0.14|-0.3899999999999999|0.53|0.020000000000000018|-0.16999999999999998|-0.15000000000000002|0.41000000000000003|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,9,0.19|0.95|0.23|0.84|0.49|0.26|0.48|11|23|8|8|27|27|24|8|2|5|2|2|2|2,0.33|0.56|0.76|0.86|0.32|0.11|0.89|11|23|8|8|27|27|24|8|2|4|2|2|2|2,0.26|0.76|0.5|0.85|0.4|0.18|0.68|11|23|8|8|27|27|24|8|2|4|2|2|2|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
