,generation,mother,father,child,child_no,mutation
0,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|6|7|11|6|8|3|5|8,1.0,0.0|0.0|0.0|0.0|1.0|0.0|-3.0|-3.0|0.0|0.0|0.0|0.0
1,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|8|8|3|8|3|5|8,2.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
2,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.86|0.14|0.35|0.97|7|7|8|3|8|3|5|8,3.0,-0.74|0.52|-0.22999999999999998|-0.20999999999999996|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|9|3|4|9,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|1.0|-1.0
4,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|4|5|8,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
5,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|8|7|8|3|8|4|5|8,6.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
6,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
7,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|6|7|8|3|8|3|4|8,8.0,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
8,4,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|7|3|8|4|5|8,9.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|-1.0|0.0|0.0
9,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.12|0.66|0.12|0.76|7|7|9|3|8|3|5|8,1.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
10,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,2.0,-0.11000000000000001|0.17000000000000004|-0.27|0.49|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
12,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.76|0.66|0.38|0.46|7|7|8|3|8|3|5|8,4.0,-0.64|0.0|-0.26|0.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.12|0.66|0.12|0.76|7|8|8|3|8|3|5|8,5.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|-1.0|0.0
14,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.12|0.66|0.12|0.76|7|7|7|3|8|3|4|8,6.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0
15,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.12|0.66|0.12|0.76|7|8|8|3|8|2|4|8,7.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|1.0|0.0|0.0
16,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.12|0.66|0.12|0.76|6|9|9|3|8|3|5|8,8.0,0.0|0.0|0.0|0.0|1.0|-2.0|-1.0|0.0|0.0|0.0|0.0|0.0
17,5,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|8|3|4|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
18,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.18|0.57|0.26|0.52|8|7|8|3|8|3|5|8,1.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
19,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.18|0.57|0.26|0.52|7|7|8|3|8|3|6|8,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
20,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.03|0.77|0.5|0.21|7|7|8|3|8|3|5|8,3.0,0.15|-0.20000000000000007|-0.24|0.31000000000000005|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
21,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.18|0.57|0.26|0.52|7|7|8|3|7|3|5|8,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
22,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.18|0.57|0.26|0.52|7|7|8|3|8|3|4|8,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
23,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.18|0.57|0.26|0.52|7|7|8|3|7|3|4|7,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|1.0
24,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.18|0.57|0.26|0.52|7|7|8|3|7|2|5|8,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
25,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.18|0.57|0.26|0.52|7|7|8|3|7|2|5|8,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
26,6,0.23|0.49|0.39|0.27|7|7|8|3|8|3|5|8,0.12|0.66|0.12|0.76|7|7|8|3|7|3|5|8,0.05|0.4|0.32|0.53|7|7|8|3|7|3|5|8,9.0,0.13|0.16999999999999993|-0.06|-0.010000000000000009|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
27,7,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.03|0.77|0.5|0.21|7|7|8|3|8|3|5|8,0.08|0.72|0.31|0.48|7|7|7|3|8|3|5|8,1.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
28,7,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.03|0.77|0.5|0.21|7|7|8|3|8|3|5|8,0.08|0.72|0.31|0.48|7|8|8|3|8|3|5|8,2.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
29,7,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.03|0.77|0.5|0.21|7|7|8|3|8|3|5|8,0.08|0.72|0.31|0.48|7.0|7.0|8.0|3.0|8|3|5|8,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
30,7,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.03|0.77|0.5|0.21|7|7|8|3|8|3|5|8,0.46|0.51|0.82|0.39|7|7|8|3|8|3|5|8,4.0,-0.38|0.20999999999999996|-0.51|0.08999999999999997|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
31,7,0.12|0.66|0.12|0.76|7|7|8|3|8|3|5|8,0.03|0.77|0.5|0.21|7|7|8|3|8|3|5|8,0.08|0.72|0.31|0.48|7|8|8|3|8|3|5|8,5.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0
