,generation,mother,father,child,child_no
0,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.24-0.67-0.53-0.56-0.29-28-13-18-29-8-4-7-7-3-5,1.0
1,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.24-0.67-0.53-0.56-0.29-19-12-22-15-8-4-4-8-2-2,2.0
2,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.24-0.67-0.53-0.56-0.29-29-10-18-29-8-2-4-7-2-2,3.0
3,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.24-0.67-0.53-0.56-0.29-28-10-18-29-25-4-7-7-2-2,4.0
4,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.24-0.67-0.53-0.56-0.29-28-10-18-15-25-3-5-6-2-2,5.0
5,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.83-0.07-0.15-0.69-0.43-28-10-22-15-8-3-4-7-2-2,6.0
6,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.24-0.67-0.53-0.56-0.29-28-12-17-29-25-4-4-7-3-2,7.0
7,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.24-0.67-0.53-0.56-0.29-19-10-18-29-8-3-5-8-3-2,8.0
8,1,0.23-0.86-0.35-0.4-0.37-19-10-22-15-8-3-4-7-2-2,0.26-0.48-0.72-0.73-0.2-28-12-18-29-25-4-7-7-3-5,0.24-0.67-0.53-0.56-0.29-21-14-22-18-28-3-4-7-3-2,9.0
9,2,0.0-0.32-0.72-0.44-0.62-9-16-9-3-15-2-4-2-5-4,0.34-0.59-0.47-0.3-0.67-9-24-18-5-12-3-3-2-6-5,0.17-0.45-0.6-0.37-0.64-9.0-16.0-9.0-3.0-12.0-2-4-2-6-4,1.0
10,2,0.0-0.32-0.72-0.44-0.62-9-16-9-3-15-2-4-2-5-4,0.34-0.59-0.47-0.3-0.67-9-24-18-5-12-3-3-2-6-5,0.17-0.45-0.6-0.37-0.64-9-16-17-5-15-2-3-2-5-5,2.0
11,2,0.0-0.32-0.72-0.44-0.62-9-16-9-3-15-2-4-2-5-4,0.34-0.59-0.47-0.3-0.67-9-24-18-5-12-3-3-2-6-5,0.17-0.45-0.6-0.37-0.64-12-26-18-6-14-3-3-2-6-4,3.0
12,2,0.0-0.32-0.72-0.44-0.62-9-16-9-3-15-2-4-2-5-4,0.34-0.59-0.47-0.3-0.67-9-24-18-5-12-3-3-2-6-5,0.2-0.88-0.03-0.68-0.5-9-16-18-5-15-3-3-2-5-5,4.0
