,generation,mother,father,child,child_no,mutation
0,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|9|4|2|18|5|2|3|5|9|5|6|4|7,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|12|26|9|9|7|11|3|2|19|5|2|3|5|9|5|6|4|7,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|-3.0|-1.0|0.0|-1.0|1.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
2,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.08|0.79|0.05|0.23|0.97|0.92|0.7|0.72|0.97|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,3.0,0.5700000000000001|-0.51|0.0|0.72|-0.35|-0.55|-0.35999999999999993|0.17000000000000004|-0.15000000000000002|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|2|5|9|5|6|4|7,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0
4,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|12|27|6|8|7|10|4|2|18|5|2|3|6|9|5|6|4|7,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
5,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|5|2|18|5|2|3|5|9|5|6|4|7,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|15|27|8|7|7|10|7|4|17|5|2|3|5|9|5|6|4|7,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0.0|-2.0|1.0|0.0|0.0|-3.0|-2.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13.0|27.0|6.0|8.0|7.0|10.0|4.0|2.0|18.0|5|2|3|5|9|5|6|5|7,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
8,2,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.97|0.93|0.67|0.85|0.69|0.03|0.96|0.59|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,9.0,0.0|-0.69|-0.88|0.2799999999999999|-0.22999999999999998|-0.31999999999999995|0.31000000000000005|-0.06999999999999995|0.22999999999999998|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
9,3,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|3|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|6|8|7|10|4|2|18|5|2|2|5|9|5|6|4|7,0.65|0.28|0.05|0.95|0.62|0.37|0.34|0.89|0.82|13|27|5|8|7|10|4|2|18|5|2|3|5|9|4|6|4|7,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
