,generation,mother,father,child,child_no,mutation
0,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.94|0.85|0.74|0.49|18|6|21|9|2|2|2|4,1.0,-0.18999999999999995|-0.07999999999999996|-0.35|0.030000000000000027|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|3|2|2|4,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
2,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|8|21|8|2|2|2|4,3.0,0.0|0.0|0.0|0.0|0.0|-2.0|0.0|1.0|0.0|0.0|0.0|0.0
3,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,4.0,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
4,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.46|0.5|0.69|0.76|18|6|21|9|2|2|2|4,5.0,0.29|0.27|-0.29999999999999993|-0.24|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|19|6|21|9|2|2|2|4,6.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|20|9|2|2|2|4,7.0,0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0
7,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18.0|6.0|21.0|9.0|2|2|3|4,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
8,2,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|2|2|2|4,0.75|0.77|0.39|0.52|18|6|21|9|3|2|3|5,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|-1.0|-1.0
9,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|17|11|9|9|2|4|3|5,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
10,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|17|6|10|9|2|3|2|5,2.0,0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0
11,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|17|6|21|9|2|2|2|4,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
12,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|17.0|11.0|21.0|10.0|2|2|2|4,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0
13,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|17|7|9|9|2|2|2|4,5.0,0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|1.0|0.0
14,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|17.0|6.0|21.0|9.0|2|2|2|5,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|17|6|9|10|3|3|2|4,7.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0
16,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|17|6|9|10|2|4|4|3,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-1.0|1.0
17,3,0.12|0.31|0.21|0.5|17|11|9|10|2|3|3|5,0.75|0.77|0.39|0.52|17|6|21|9|2|2|2|4,0.44|0.54|0.3|0.51|18|6|21|9|2|3|3|4,9.0,0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0
18,4,0.75|0.77|0.39|0.52|18.0|6.0|21.0|9.0|2|2|3|4,0.44|0.54|0.3|0.51|17|7|9|9|2|2|2|4,0.6|0.66|0.34|0.52|17.0|6.0|21.0|9.0|2|2|2|4,1.0,0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
