,generation,mother,father,child,child_no,mutation
0,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.42|0.64|0.24|0.57|0.97|0.6|0.92|0.31|0.55|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,1.0,0.47000000000000003|0.010000000000000009|0.36|-0.30999999999999994|-0.6|0.19000000000000006|-0.08000000000000007|-0.16|-0.52|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
1,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|4|6|2,2.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
2,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|5|3|3|4|3|4|5|3,3.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|-1.0|0.0|-1.0|1.0|-1.0
3,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|5|2,4.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0
4,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|14|4|15|22|2|4|3|3|3|3|3|6|2,5.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|22|23|15|4|15|22|3|4|3|3|3|3|3|6|2,6.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.72|0.91|0.7|0.88|0.9|0.6|0.04|0.73|0.52|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,7.0,0.17000000000000004|-0.26|-0.09999999999999998|-0.62|-0.53|0.19000000000000006|0.7999999999999999|-0.58|-0.49|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
7,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|16|4|4|21|23|15|4|15|22|3|4|3|3|3|3|4|6|2,8.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0
8,2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|2|3|3|6|2,9.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0
9,3,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|21|23|15|4|15|22|3|4|3|3|3|3|3|5|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|22|23|15|4|15|22|3|4|3|3|3|3|3|6|2,0.89|0.65|0.6|0.26|0.37|0.79|0.84|0.15|0.03|15|4|4|22|22|15|4|15|22|3|5|3|3|3|3|3|6|2,1.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
